"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","NOTES"
"11",3,"K. Sadiq",NYJ,"TE2","21","Kenyon Sadiq should be a full-time starter for an NFL team from the jump. Not only does he deliver upside as a receiver, but Sadiq is a difference maker as a blocker. Sadiq can hold his area of grass with a strong anchor and high motor. Sadiq was also utilized as an edge-setting blocker and lead option with the running game for the backs and quarterback-designed runs. Sadiq has fluid hips that allow him to uncover at the top of his stems quickly. He has to improve his route running with the footwork at the top of his stems and his salesmanship during his routes. That isn’t to say that Sadiq is a bad route runner. That’s definitely not the case. He has the raw speed to easily pull away from corners during routes and up the seam. He flashes good ball tracking with downfield seam routes and impressive body control in the air. He has the play strength and above-the-rim skills that play well at the catch point and in the red zone. Sadiq’s catch radius is massive, with the skills to adjust to targets thrown low and behind him. He can operate as a dump-and-run option for an NFL passing attack with the ability to create yards after the catch. Sadiq can break tackles in the open field with strong contact balance and a thick lower half, which is great because he isn’t the twitchiest player with the ball in his hands. Sadiq can snap off a decent whip route, but it won’t blow you out of your shoes. The lack of suddenness in some of his change of direction and route running can improve as he hones his skills as a technician. He has the raw athleticism to improve. Dynasty Outlook: Well, this sucks. This landing spot for Kenyon Sadiq was nightmare fuel. He lands with the Jets, where he could push for the second spot on the target hierarchy, but he’s more likely fighting for scraps as the third or fourth option for the passing attack in 2026. The Jets already have a competent in-line tight end option with their second-round selection last year in Mason Taylor. Sadiq looks like the move piece for this passing attack and easily could see Isaiah Likely type usage where he’s a better weapon for the Jets than an option for us in dynasty and fantasy circles. It’s fair to wonder how many weapons Geno Smith can support in 2026, what the Jets quarterback situation and coaching staff look like in 2027, and what Sadiq’s route and snap shares look like for 2026. This all leaves him as a player whose stock was crushed badly by this landing spot. He’s an option in rookie drafts in the late first round that I’m probably bypassing and looking to trade for during the 2026 season or after it. I don’t see his stock improving in the 2026 season, so he’ll likely be cheaper during the season or after it than he will be during rookie draft season. Dynasty Outlook: Well, this sucks. This landing spot for Kenyon Sadiq was nightmare fuel. He lands with the Jets, where he could push for the second spot on the target hierarchy, but he’s more likely fighting for scraps as the third or fourth option for the passing attack in 2026. The Jets already have a competent in-line tight end option with their second-round selection last year in Mason Taylor. Sadiq looks like the move piece for this passing attack and easily could see Isaiah Likely type usage where he’s a better weapon for the Jets than an option for us in dynasty and fantasy circles. It’s fair to wonder how many weapons Geno Smith can support in 2026, what the Jets quarterback situation and coaching staff look like in 2027, and what Sadiq’s route and snap shares look like for 2026. This all leaves him as a player whose stock was crushed badly by this landing spot. He’s an option in rookie drafts in the late first round that I’m probably bypassing and looking to trade for during the 2026 season or after it. I don’t see his stock improving in the 2026 season, so he’ll likely be cheaper during the season or after it than he will be during rookie draft season."
"12",3,"D. Boston",CLE,"WR6","22","Boston is a prototypical tall, long-striding X receiver. His hips are a tad tight, but he compensates with solid footwork, allowing him to gear down and snap off the top of his stem well. His play strength is evident in his routes and at the catch point. Boston can deal with physical corners. It’s tough to push him off his route, and he has the upper body strength necessary to deal with press flashing, strong hand fighting, club, and rip. Boston’s fluidity above the rim is exquisite. His numbers in 2025 could have been even more robust with better quarterback play. Boston has an enormous catch radius with his combination of velcro hands and body control. He made his quarterback right a ton of times when the throw was wrong. Boston is a ball winner at the catch point with at least a 62.8% contested catch rate over the last two seasons. His hands are sound with 4.5% and 3.1% drop rates in that timeframe. Boston should be a red zone threat in the NFL from Day 1. He has numerous high-end reps near the goal line with fade routes on his 2025 film. Boston doesn’t have elite raw speed, but he’s fast enough to get the job done as a field stretcher with his route running, release package, and quick acceleration, giving him the ability to not only win in the short areas of the field but downfield as well. Boston has a varied release package and a good understanding of route adjustment and leverage. He might struggle to stack corners with elite speed, but he can still win at the catch point and with back shoulder targets. Dynasty Outlook: The Browns pounced on Boston in the second round of the NFL Draft, effectively remaking their wide receiver room with the addition of KC Concepcion in the first round of the NFL Draft. Boston’s skill set complements Concepcion nicely as the X component. The biggest question now becomes how many weapons can the Cleveland starting quarterback (whoever that is) support in 2026? Boston, Concepcion, and Harold Fannin Jr. will all compete for the team lead in targets while Jerry Jeudy slides into a complementary role. I honestly wouldn’t be shocked to see Jeudy traded prior to Week 1, either. Drafting Boston in the late first round of your rookie draft is a wonderful bet on talent that I’ll make every day of the week."
"13",3,"J. Coleman",DEN,"RB3","22","Coleman has underrated power for his stature. He has average burst and pin balls off incoming defenders. His strong lower half serves him well as an interior runner. Coleman has good vision with plus short-area agility as he weaves through the second level of a defense with solid finishing power. Coleman is a one-speed runner who gets up to top gear quickly, but he lacks a home run gear. He could easily be a solid chunk gain author in the NFL, but the 60-yard knockout punches likely won’t be there. His vision and agility in a phone booth are how he wins with the ball in his hands. Coleman has some WOW moments on film in pass pro. He can anchor well with a solid base and has picked up some defenders off the ground in pass pro. Coleman will be a quarterback’s best friend in the NFL with his pass-pro skills. Across 278 collegiate pass pro snaps, he allowed only three sacks (one in his final three seasons) and nine hurries. He’s a trusted receiving option in the passing game with only one drop in college. He finished top 24 in yards per route run in two of his last three seasons (minimum 20 targets). Coleman was proficient with a diet of flat routes and swing passes. He could expand his route tree in the NFL and become more of a weapon through the air, but his long speed limitations will probably cap his ceiling. Dynasty Outlook: The Denver Broncos selected Jonah Coleman in the fourth round of the NFL Draft. J.K. Dobbins returned to Denver on a two-year deal, which is essentially a one-year deal that they can get out of after the 2026 season. The Coleman selection is horrible news for R.J. Harvey, though. Harvey had a disappointing rookie season outside of running hot with touchdowns and soaking up volume after Dobbins’ injury last year. Coleman could eat into Harvey’s workload in 2026 if he can establish himself in camp and takeover as an integral member of the backfield in 2027 if the team moves on from Dobbins. Coleman is a strong pass protector and has underrated receiving chops. I’ll be taking shots on Coleman in the second round of rookie drafts this year."
"14",3,"A. Williams",WAS,"WR7","21","Williams will be a slot-confined player in the NFL. Clemson had a brief dalliance with him as a perimeter wide receiver, but even when he lined up on the perimeter in many cases, it wasn’t true perimeter wide receiver play. After Week 8 in 2024, Williams was a full-time slot (93% slot in 2025). When he was on the outside in 2024, he was utilized in bunch formations, in motion, and schemed open with the offensive concepts. Williams has a lightning-quick first step off the line with crossing routes and at the top of his stem with in and out breaking routes. It allows him to earn easy separation as an underneath/zone beating receiving option. He can telegraph his breaks at times with comebacks and curls, allowing corners to drive on these routes. Williams will need to improve his pad level through routes and his salesmanship. Williams needs to improve the consistency with his releases. At times, he can get TikTok-y while flashing efficient movements with other reps. Williams has a dependable set of soft hands with a 4.5% or lower drop rate in three of his four collegiate seasons. He plucks the ball out of the air and away from his frame. He doesn’t have the high-end body control to make the highlight reel catches outside of his frame, which constricts his catch radius. He can be an asset in the run game. He was utilized on pitches and jet sweeps at Clemson and was productive with this usage, with 179 rushing yards over his final two seasons (8.9 yards per carry). Williams can also produce YAC with his speed and open field vision, but don’t expect him to be a tackle-breaking machine in the NFL. Dynasty Outlook: Antonio Williams is headed to Washington via the third round of the NFL Draft. He should be the team’s starting slot receiver from Day 1. I’m not in the camp that believes he’ll be a perimeter wide receiver in the NFL, but I could easily be wrong. Williams has posted at least 2.05 yards per route run in each of his last three collegiate seasons, but during that span, he hasn’t managed more than 5.8 yards after the catch per reception in any season. He has 22 missed tackles over the last two years, so he can make some things happen with the ball in his hands. Williams also has an 86th percentile breakout age on his production profile. I expect Washington to acquire Brandon Aiyuk’s services for 2026 (and beyond), so I’m baking that into my Williams value to an extent. Williams is worth considering for your dynasty teams in the middle of the second round of rookie drafts. I question his ceiling in the NFL, but he could be a solid NFL player."
"15",3,"C. Bell",MIA,"WR8","21","Bell was a perimeter wide receiver throughout his collegiate career (91.2% out wide). He’s a muscular wide receiver with a compact build who profiles as a chain-moving possession receiver who can provide some juice after the catch. Bell was an underneath threat in 2025 with a 9.4 aDOT. He was fed a STEADY diet of horizontal routes (drag, slant, etc). 63.2% of his targets were within nine yards of the line of scrimmage or behind it. Bell does a good job of using his strength and quick first step off the line to win with those route types. Bell’s hips are stiff as he isn’t the most fluid receiver when he’s asked to sink his hips and throttle down quickly. His steps get choppy, and it’s not a fluid process. This explains why he was deployed in the way that he was in 2025 by Louisville. I’m enamored with the idea of Bell turning into a power slot with his skillset. He utilizes his muscular build well after the catch. Bell had 20 missed tackles forced over the last two seasons. He also logged two seasons with at least 7.2 yards after the catch per reception. Bell moves like a running back with the ball in his hands. He’s quick and decisive with the ball in his hands, but he also has the patience to allow his blocks to develop and create running lanes. Dynasty Outlook: The Dolphins selected Bell in the third round of the NFL Draft. He is recovering from a torn ACL, and the Dolphins have the luxury of being patient with him in 2026, so I don’t expect him to come screaming out of the gate. I liked Bell as a prospect, but I didn’t love him. I do absolutely love this landing spot, though. The Dolphins also drafted Caleb Douglas in the third round and Kevin Coleman Jr. in the fifth round. I’m not worried about Douglas, as I didn’t like his analytical profile or his film. Bell could start slow in 2026, but he could be the team’s WR1 down the stretch if he can flash his preinjury form in his rookie season. Bell could easily enter 2027 as the team’s WR1, so if you’re looking for a big-time upside swing in your rookie draft, then it’s Bell. I’m willing to absorb the risk in the middle of the second round."
"16",4,"N. Singleton",TEN,"RB4","22","Singleton can be tentative at the line at times. He’ll operate in a gap scheme more efficiently with clear running lanes with the play design (53% gap runs over his final two collegiate seasons). His vision isn’t horrible down-to-down, but it’s an area that could use some cleaning up. Singleton is a linear player who isn’t a violent or explosive mover when changing directions. His steps can get choppy at times as he loses speed in the process. Singleton isn’t a player who will juke you out of your socks. He’s a runner that isn’t going to create a ton of yards on his own. Singleton is a high-cut runner with the necessary upper-body strength to break loose wraps and tacklers that attack him high. The other side of the coin is also true, though. Singleton can be chopped down by tacklers aiming at his waist and below. Singleton has solid pass-pro skills. He works with a strong base. Singleton has plenty of reps where he stands up incoming rushers or redirects them out of the quarterback’s wheelhouse. With 173 collegiate pass blocking snaps, he allowed only three sacks and ten hurries. Singleton is an adequate check-down option in the passing game. He finished top 24 in yards per route run among backs in two of his final three collegiate seasons. He lacks the change of direction ability and explosive short area agility to become a true pass game weapon with a varied route tree, but he should easily be a trusted option with swings and flat routes. Singleton cleaned up drops in his final season with only one after posting a 7.1% or higher drop rate in each of the previous three seasons. Dynasty Outlook: Nicholas Singleton arrives with the Titans via the fifth round of the NFL Draft. Singleton will start the process as the RB4 on the depth chart, but it wouldn’t shock me if he were Tony Pollard’s backup by Week 1. Pollard and Tyjae Spears are unrestricted free agents after the 2026 season. I know the odds are slim for a fifth-round pick to walk into the next season as the unquestioned starter for an NFL team, but Singleton could have that run out if everything breaks right for him in 2026. I’m lower on him as a talent, but he’s a decent upside bet that could be made cheaply in dynasty rookie drafts."
"17",4,"G. Bernard",PIT,"WR9","22","Bernard has played on the perimeter and in the slot during his collegiate career. In his final collegiate season, he ran 62.2% of his routes from the perimeter. Bernard will likely see a move back to the slot in the NFL. He has a strong understanding of attacking zone coverage and route pacing, with the knack of finding the holes in zone. Bernard’s raw speed is lacking. He doesn’t have the raw juice to threaten NFL corners as a downfield receiver. He lacks explosive movements off the line at the top of his route stem. He gains late separation in his routes and can fight through physical corners with his solid upper body strength. Bernard also displays a decent understanding of leverage and setting up corners. Unfortunately, it won’t get him far in the NFL with his athleticism limitations. He’s able to make some things happen with the ball in his hands thanks to his upper body strength and his tackle-breaking ability. Bernard ranked 21st among wide receivers in 2025 in missed tackles forced. Bernard has a dependable set of hands with only a 2.5% drop rate in college and one drop in his final season. Dynasty Outlook: Yes, I know I’m a fabled Germie Bernard hater. I think he’ll be a solid NFL player, but I question his upside. His collegiate production profile is middling at best. He has a 33rd percentile college dominator and a 21st percentile breakout age. Over the last two years, he has ranked 175th and 73rd in yards per route run. I’m not taking a risk on him any earlier than the early third round of rookie drafts. In many cases, he’ll already be off the board. I’m ok with missing the Bernard boat in rookie dynasty drafts."
"18",4,"D. Stribling",SF,"WR10","23","Stribling is a linear athlete. He’s a build-up speed receiver that can make some things happen with the ball in his hands. Stribling had 7.3 and 6.7 yards after the catch per reception over the last two years. He can bulldoze through defenders with momentum built up and a strong upper body. Stribling can look clunky at times when he’s asked to sink his hips at the top of the route and break back towards the quarterback. Comebacks and curls aren’t his special sauce. With a heavy diet of slants, posts, and gos, he can cook. He needs to continue to add more nuance, variations in pacing, and the other bells and whistles of route running. Stribling has good ball tracking and the ability to stack corners on vertical routes. He displays plus body control with plenty of nice back shoulder catches littering his film. Dynasty Outlook: You might be wondering how a wide receiver selected with the 33rd overall pick of the NFL Draft is this low in my rankings. Well, if you look at the rest of the 49ers’ draft class and their past few, it looks like their front office has been drunk-drafting. I wasn’t in love with Stribling as a prospect with his 36th percentile college dominator, 39th percentile target share, and 72nd percentile breakout age. Stribling is a linear player with solid RAC skills, but his speed could be to blame for the 49ers falling over themselves to overdraft him. I’m trying to learn from previous years of overdrafting 49er draft picks because of Shanny magic. If you want to take the swing on him and chase the draft capital and offensive system earlier than the second round of your rookie draft, be my guest, but I won’t be doing it. The risk of another 49er flop is baked in during the second round of rookie drafts."
"19",4,"C. Brazzell II",CAR,"WR11","22","Brazzell isn’t your typical Tennessee wide receiver prospect. He didn’t live in a world overrun by bunch and stacked formations in 2025. He wasn’t gifted free releases and schemed touches all season. That’s where the conversation of him as a prospect needs to start to debunk the worries when people just see Tennessee next to his name. Brazzell is a tall, lightning-fast field stretcher with route-running chops and good ball tracking that we don’t usually see for his size. Brazzell can sink his hips quite well for his size and has fluid change of direction. He can win on the linear/vertical plane, but that’s not all that he brings to the table. He has a strong understanding of leverage and inviting indecision into corners’ heads. He’s a detailed route runner who can dance in a corner’s blind spot and get them to commit to an angle before breaking off his route. Brazzell’s play strength can be an issue against physical corners who can run with him and at the catch point. Just by looking at his size, you’d assume that Brazzell is extremely physical, but it’s not the case. He lets corners into his body far too easily when pressed. He also isn’t a ball winner at the catch point. Many times, 50/50 balls don’t go his way as corners can disrupt him at the catch point. Brazzell finishes college with a 40.8% contested catch rate. Whether his technique needs to be polished and/or the need for more raw strength to be added, he’ll need to address this at the NFL level if he’s going to hit his ceiling as a player. Brazzell could develop into a WR1 for an NFL offense if he continues to hone his game and improve his play strength. Currently, he’s best viewed as a WR2/3 or field-stretching option. Dynasty Outlook: The Panthers added Brazzell to the fold in the third round of the NFL draft. The addition of Brazzell should immediately send Xavier Legette to the bench. I expect Brazzell to crack the starting lineup for Week 1 and immediately push Jalen Coker for the WR2 role on the Panthers. The biggest worry for Brazzell is the reality of Bryce Young’s limitations. Drafting Brazzell in rookie drafts is betting on talent, though. If Bryce Young can’t cut the mustard in 2026, I wouldn’t be shocked to see the team move on and draft or sign a quarterback."
"20",4,"E. Johnson",KC,"RB5","22","Johnson runs with an infectious energy with every carry. He gets up to top speed quickly with immediate acceleration, but he isn’t a burner. Johnson can author chunk plays, but I doubt he’ll have many 70-yard home runs in the NFL. He wins with vision, acceleration, and lateral agility. Johnson has displayed the ability to handle volume and be a workhorse. In his final collegiate season, in 83% of his games, he had at least 19 touches. Johnson’s superpower is his footwork and short-area agility. He’s a short area assassin with the ability to change directions on a dime and the feet to create yards on his own. Johnson runs like he chugs 12 Monster and cheeks four Zyns weekly pregame. He can juke defenders out of their shoes while also having the contact balance to pinball off would-be tacklers. Johnson HAS TO improve his pass blocking to be trusted on passing downs. His lower body strength and ability to anchor are a problem. He’ll get blown out of his cleats at times by rushers. With 125 collegiate pass blocking snaps, he allowed 15 pressures. He can redirect rushers on occasion and chip them, but at this stage, it’s asking too much of him to hold his ground or bury a guy in the dirt. Johnson is a pass game weapon. He lined up in the slot or out wide with 18% of his snaps in 2025. He was deployed in 2025 with a smattering of screens, angle routes, and wheel routes with success. His short-area abilities translate well to his route running. Dynasty Outlook: One of my favorite backs in this class heads to Kansas City to fight for the RB2 position on the depth chart with Emari Demercado, Brashard Smith, and Jaydn Ott. Johnson is electricity in a bottle. I won’t be shocked if he wins that battle quickly in camp, but with his fifth-round draft capital and Kenneth Walker signed to a big deal this offseason, he’s only a handcuff worth stashing. He’ll have the most value in dynasty rookie drafts to the team that is rostering Kenneth Walker."
"21",4,"E. Sarratt",BAL,"WR12","23","Sarratt has average burst and long speed but a quick first step off the line. It allows him to earn quick separation off the line, but corners can recover during the route with Sarratt lacking the raw speed to maintain his early cushion. Physical corners and ones with speed can hang with him, which is a worry about his separation skills translating to the NFL. Sarratt profiles best as a supporting perimeter possession receiver, or he could move inside as a power slot. He lacks the raw speed to separate consistently with vertical routes, but he has the catch point strength and body control to win at the catch point and with back shoulder throws. His downfield ball tracking is solid. Sarratt finished college with a 60% contested catch rate. His lateral agility at the line and the top of his stems, combined with his size, allows him to win on in-breaking routes. He lacks the short-area burst to be utilized on double moves. Sarratt’s athleticism could cap his ceiling and usage as a player. He’s not a dynamic YAC/RAC threat. He has the upper-body strength to break some tackles, but lacks the immediate burst and speed to offer a ton after the catch. He has 13 missed tackles across his last two collegiate seasons. In his two seasons with Indiana, he had only 4.7 and 5.7 yards after the catch per reception. Dynasty Outlook: The Ravens selected Sarratt in the fourth round of the NFL Draft. Sarratt will have to beat out Rashod Bateman (signed through 2029) and fellow rookie Jakobi Lane to crack the starting lineup in a low-volume passing offense. I like Sarratt a lot, but I’m not a huge fan of his landing spot. Passing volume and target competition could make it quite difficult for him to pop in year one. Sarratt is a decent selection at the end of the second round or beginning of the third round in your rookie drafts as a bet on talent."
"22",4,"C. Beck",ARI,"QB3","23","Beck’s experience shows up consistently. With five years of collegiate starting experience under his belt, he is strong moving through progressions. He can quickly move from his first to second read and beyond, and flips to his checkdown quickly when necessary. Beck is a rhythm passer with the arm strength to access all three levels of the field. He’s at his best when he’s peppering the short and intermediate with accurate darts. He can layer a second-level throw quite well. Beck’s deep ball can be variable, with some lacking arch for receivers to run under or being short-armed, and receivers are left waiting on it. Beck has a quick release and easy, repeatable mechanics. When he’s locked in, Beck can toss some nice throws downfield, though. He needs to improve the consistency of his deep ball. The biggest worry with Beck is his moxy. He has no fear of ripping some questionable throws into tight windows. At times, these throws can be worrisome considering his arm talent, but I appreciate his willingness to push the envelope. He’ll have to recalibrate this aggression once in the NFL and relearn what he can get away with. Beck’s aggressive nature as a passer will also leave him willing to make some throws that can put his receivers in harm’s way. Beck will thread the needle at times into congested areas of the field with multiple defenders bearing down, only for his receiver to be led into traffic, absorbing a big hit. He’s a pocket passer that won’t add much with his legs to an NFL offense. Beck finished college without surpassing 200 rushing yards in any collegiate season. Dynasty Outlook: Carson Beck lands with the Arizona Cardinals and is vaulted into a wide-open depth chart. His only competition to starting in 2026 is Jacoby Brissett and Gardner Minshew. I don’t foresee a long starting career for Beck. At this juncture, he’s a known commodity as a passer. Beck is at his best when he’s getting the ball out on time and peppering the second-level with throws. His deep ball accuracy can be spotty. Beck is worth a dice roll in dynasty rookie drafts, but only as a possible sell candidate to a team in your league if he gets a cup of coffee as the starter in 2026. I don’t foresee him getting a long runway under center for Arizona over multiple years. This is a team that should still firmly be in the market for a quarterback in the 2027 draft class."
"23",4,"T. Hurst III",TB,"WR13","21","Hurst has a thin but muscular frame. His play strength is surprising for his frame. He doesn’t get pushed off routes and fits through contact well. Hurst has immediate and fluid speed with easy change of direction. He loses little speed when subtly changing directions mid-route. Hurst has a nice homerun gear in the open field. He’s a refined route runner with a varied release package. Hurst can invite indecision in cornerbacks’ heads as he sets them up and dances in their blind spot. He sells the vertical push well and has solid hip sink and deceleration skills for a player his size. Hurst can play above the rim with good adjustment to back shoulder throws and nice body control in the air. He displays a large catch radius. Hurst displays late hands. His drop rate decreased in every year of college, with a 9% rate in his final season. He’s a ball winner at the catch point with a 61.1% contested catch rate for his collegiate career. 50/50 balls become 60/40 balls for Hurst. Dynasty Outlook: The Bucs drafted Ted Hurst in the third round of the NFL Draft. Hurst is immediately the WR4 on this depth chart ahead of Tez Johnson, in my opinion. I would not be surprised if Hurst cracks the Week 1 starting lineup with only Jalen McMillan to beat out for that job. The runway for Hurst is clearer than it might appear at first glance. The Bucs could easily let Chris Godwin walk after the 2026 season, as they have an out with a 16.3 million dead cap hit, which would also be Godwin’s age-31 season. Hurst is the upside swing to take in rookie drafts at the top of the second round. Don’t be shocked if Hurst and Emeka Egbuka are leading the Bucs passing attack entering 2027 after he puts up a solid rookie campaign."
"24",4,"K. Allen",WAS,"RB6","23","Allen is built like a bowling ball. He has a low center of gravity, which helps him make a difficult wrap for defenders at times. He’s able to keep his legs churning and run through half-hearted tackling attempts. Allen is a patient back that allows his blockers to clear the road before he charges down it. Allen’s burst and raw speed are below-average. He’s at his best when getting downhill immediately and getting a head of steam built up. His lateral agility is lacking at times, so asking him to operate in a stretch zone-based scheme wouldn’t be ideal. With his limited athletic profile, Allen is a capped passing game option, but he can still operate as a valuable checkdown option. His route deployment will be limited, but he has soft hands with only one drop in his final season. His stature helps him in pass protection with a solid anchor. He can hold his own with incoming rushers bearing down, but speed rushers can give him issues. With his limited lateral agility, speed options can easily bypass him as they barrel toward the quarterback. Allen isn’t a make-you-miss type of back, but he can deploy a well-timed jump cut at times to get the job done. He’ll be heavily dependent upon his offensive line at the next level because he won’t be creating a ton of yards on his own (especially near the line of scrimmage). Dynasty Outlook: Kaytron Allen was selected by the Washington Commanders in the sixth round of the NFL Draft. This backfield is a wide-open competition between Allen, Jacory Croskey-Merritt, Rachaad White, and Jerome Ford. I wouldn’t be surprised if any of them is named Week 1 starter when it’s all said and done. Ford and White are also on one-year deals, so the team could opt to run with Croskey-Merritt and Allen as the leaders of this backfield with multiple years of runway for them with the franchise. Allen is a decent dart throw at a possible Week 1 starting back."
"25",4,"Z. Branch",ATL,"WR14","22","Branch is a manufactured touch and an underneath target option for an NFL offense. He finishes college with a 5.2 aDOT (3.6 in 2025) and a 77.9% slot rate. Branch has a compact, muscular build that lends itself to after-the-catch production. In 2025, 77.4% of his targets were within nine yards of the line of scrimmage or behind it. 49.4% of his target volume was via screens as he ranked second in screens among all FBS wide receivers. Branch has immediate and palpable speed. He looks shot out of a cannon as soon as the ball is in his hands. In 2025, he ranked 16th in yards after the catch per reception (ninth in 2024) and 12th in missed tackles forced per attempt. Branch has the raw speed and after the catch ability to take any low aDOT target to the house. Branch has underrated route-running chops when he was able to flash them in 2025. He sets up corners well with subtle jab steps while displaying a solid grasp of manipulating a corner’s leverage. There is upside here that he could be a more diverse player than his collegiate usage foretells. It’s just a projection, though. Many times, NFL teams don’t draft players of this archetype for who they can become, but target them for who they are, what they bring to the table skillset-wise as a prospect. Dynasty Outlook: Branch was selected by the Atlanta Falcons in the third round of the NFL Draft. I’ll be avoiding him in rookie drafts. In college, he was a screen merchant. We have seen this archetype of wide receiver fail time and time again in the NFL (Rondale Moore and Malachi Corley). I’m trying to learn from past mistakes here. If you want to take the chance on Branch, I wouldn’t do it any earlier than the mid-to-late third round of rookie drafts. I won’t be following you down that road."
"26",4,"M. Washington Jr.",LV,"RB7","22","Washington has a stout, muscular frame. He’s an upright runner with solid contact balance and above-average burst with the long speed to hit a crease and take it to the house. In 2025, he was 12th in runs of 15 yards or more and 17th in breakaway rate. Washington has a starter/three-down skill set. Washington has solid but not outstanding lateral agility. He can make people miss and take advantage of cut-back opportunities with his nimble feet, but his hips are tight, which can limit him at times. Washington runs with power and can lower his shoulder when needed. Washington is a better pass catcher than his yards per route run would suggest. He has a soft set of hands that led to only one drop in his final collegiate season. While he might never be a player that is “featured” in the passing game, he has the necessary skills to operate as a three-down back. Washington is already a solid pass protector. He has the play strength to hold his ground and the foot quickness to adjust to incoming rushers. Over the last two seasons (140 pass blocking snaps), he allowed only one sack and six hurries. Dynasty Outlook: I hate hate hate the landing spot for Mike Washington Jr. I love his talent and the fact that he got fourth round draft capital (I wish he had gotten Day 2 capital, but it’s ok), but getting drafted to the Raiders that already have Ashton Jeanty on the depth chart is wretched. Washington Jr. should be considered the automatic RB2 on the depth chart and a high-end handcuff worth drafting in rookie drafts, especially if you already roster Ashton Jeanty. I wouldn’t be shocked to see him get 100+ carries and some goalline work in his rookie season."
"",4
"27",4,"M. Fields",NYG,"WR15","22","Fields is a high-cut, long-striding build-up speed deep threat option for an NFL offense that relies upon his size and physicality at the catch point. Fields has a large catch radius with the ability to sky for above-the-rim targets. He displays strong body control in the air, adjusting to back shoulder throws. Fields does use his size effectively on in-breaking routes in the short and intermediate areas of the field. He has a strong understanding of exploiting a cornerback’s leverage and how to pace his routes against zone coverage. He does display solid ball tracking on downfield routes. He has to continue to add to his release package and improve his footwork at the top of his stem. Fields will lag on the line at times with some “TikTok” footwork before launching into his route stem. His change of direction with getting out of his route breaks can look clunky at times and lacks suddenness. Fields isn’t a dynamic threat after the catch. He had only 4.7 yards after the catch per reception in college and only exceeded 5.3 yards after the catch per reception once in his five-year collegiate career. He averaged nine missed tackles per season across his final three collegiate seasons. Dynasty Outlook: Fields is heading to the Giants via the third round of the NFL Draft. He might have trouble getting on the field during this rookie season with Darnell Mooney, Darius Slayton, and likely Calvin Austin above him on the depth chart. Fields is a field stretcher that I don’t think profiles as a high-end target earner in the NFL. Over the last two collegiate seasons, he ranked 80th and 116th in yards per route run while finishing with a 70th percentile collegiate breakout age. Fields is an early third-round pick in dynasty rookie drafts."
"28",5,"S. Bell",BUF,"WR16","23","Bell has quick and immediate acceleration (65th percentile 10-yard split). He can quickly decelerate and get back up to top speed with smooth double moves. He can churn out YAC for a passing game, as evidenced by his 8.2 yards after the catch per reception in 2025. He has the upper-body strength and lateral agility to make defenders miss in space (26 missed tackles forced over the last two years). Bell needs to improve the efficiency of his releases and footwork off the line. He can take a second to launch into his route. In the NFL, this hesitation/exaggerated footwork will leave him a tick behind with some plays. The needed refinement in his releases and expansion as a route runner shows up when he’s asked to win vertically. Corners have no issue sticking with him as he doesn’t consistently stack defenders. There’s also limited exposure from the games I watched of him as a vertical element in a passing game. In 2025, he had only 17% of his target volume come via deep targets. I wouldn’t be shocked if Bell is moved to the slot in the NFL (61.1-69.2% on the perimeter over the last two years). Bell faced a ton of off coverage with free releases at the line. UConn also utilized him with plenty of bunch formations and on screens (28.3% of his target volume in 2025). Ball excels versus zone coverage, but I have questions about how he’ll fare against man and press situations. Dynasty Outlook: Skyler Bell is headed to Buffalo to catch passes from Josh Allen after being selected in the fourth round of the NFL Draft. Bell will have to hop Joshua Palmer and possibly Keon Coleman to hit the starting lineup. My worry for Bell is that Buffalo will continue to deploy a wide receiver by committee approach with Joe Brady at the helm, which would cap his upside and drop his floor yearly, even if he can win a “starting” spot. The talent is there for Bell to earn his way up the depth chart and fight Khalil Shakir for the WR2 role behind DJ Moore, though. Bell is a nice upside swing in the mid/late second round of rookie drafts."
"29",5,"K. Black",SF,"RB8","24","Black is a runway back that wins with speed, acceleration, and vision. He isn’t a powerful back capable of pushing the pile or stiff-arming defenders into the dirt. Black has the raw speed to hit a crease and take it the distance. He can get into trouble quickly in the backfield if contacted early in a play. Black isn’t a contact balance champ. He can be brought down with sufficient tackling technique. He’s a linear runner without a ton of wiggle. Black can make defenders pay in the second-level, though, with a full head of steam as he’ll run through some weak wraps or poor angles. Black was used sparingly as a receiver at Indiana, with only 12 targets in two seasons (48 receiving yards). He was decent (at best) in pass pro. He had only 64 pass blocking snaps over the last two years, in which he allowed three pressures and a sack. Dynasty Outlook: We have been down this road with Kyle Shanahan too much to have a ton of faith. Shanahan’s track record with backs selected in the draft in round 3 or later since 2017 is HORRIBLE. Since 2017, he has helped the 49ers select Joe Williams, Elijah Mitchell, Trey Sermon, Tyrion Davis-Price, Isaac Guerendo, and Jordan James. Black is a runway back with the ability to break off some long plays. He’s a limited player, though, as a linear runner and unproven receiver. Black is a decent player to take a shot on in rookie drafts, but I WILL NOT overdraft him or steam him up because of the landing spot. This is a trap that we have fallen for way too many times as a dynasty community. It’s time to learn from past mistakes. Last year, Black didn’t even manage to make it into the top 40 FBS running backs in yards after contact per attempt or breakaway rate."
